otel,konum,secenek,fiyat
deluxe golden horn sultanahmet,sultanahmet,oda kahvaltı,2283 
the and hotel sultanahmet,sultanahmet,oda kahvaltı,2658 
the sign şile hotel spa ( ex şile gardens hotel spa),şile,oda kahvaltı,3500 
cityloft 81,kayışdağı,sadece oda,715 
park inn by radisson i̇stanbul asia kavacık,kavacık mahallesi,sadece oda,3126 
mercia hotels resorts,kumburgaz,oda kahvaltı,1499 
grand makel hotel topkapi,zeytinburnu,sadece oda,2255 
lasagrada hotel,osmanbey,sadece oda,3988 
i̇stanbul marriott hotel asia,kayışdağı,sadece oda,5397 
eresin topkapi hotel,topkapı,oda kahvaltı,2337 
mercure hotel i̇stanbul altunizade,altunizade mahallesi,sadece oda,4313 
hilton mall of istanbul,başakşehir,sadece oda,7532 
ever otel avrupa,bağcılar,sadece oda,2235 
ekinci residence,kurtköy,sadece oda,1704 
hampton by hilton kayaşehir,kayabaşı mahallesi,oda kahvaltı,2128 
titanic business kartal,kartal-pendik,sadece oda,2776 
i̇bis styles i̇stanbul ataşehir,küçükbakkalköy,sadece oda,2634 
park i̇nn by radisson i̇stanbul ataşehir,dudullu osb,sadece oda,3013 
lionel hotel istanbul,bayrampaşa,sadece oda,2793 
acra hotel,sultanahmet,oda kahvaltı,2734 
grand emir hotel,beyazıt,oda kahvaltı,1484 
tango arjaan by rotana istanbul asia,bostancı,sadece oda,2899 
divan i̇stanbul city,fulya,sadece oda,3543 
novotel i̇stanbul bosphorus,karaköy,sadece oda,4740 
radisson blu hotel pera,taksim,sadece oda,5944 
the pera hill hotel,taksim,sadece oda,4825 
pera palace hotel,taksim,sadece oda,7411 
malta bosphorus hotel,beşiktaş,oda kahvaltı,1693 
cvk taksim hotel istanbul,taksim,sadece oda,2822 
marble,taksim,sadece oda,2313 
laleli gonen hotel,laleli,oda kahvaltı,1505 
kemer country hotel i̇stanbul,eyüp,oda kahvaltı,8465 
39 kalamis marina hotel - restaurant,kadıköy,sadece oda,5006 
rox hotel atatürk airport,i̇stanbul bahçelievler,sadece oda,2798 
endless art hotel,şişli,sadece oda,2885 
i̇stanbul medikal termal otel,tuzla,sadece oda,1552 
the ottoman city hotel,çağlayan mahallesi,oda kahvaltı,1225 
premist hotels sultanahmet,sultanahmet,oda kahvaltı,1344 
the marmara şişli,mecidiyeköy,sadece oda,2849 
glk premier the home suites spa,sultanahmet,oda kahvaltı,3070 
park inn by radisson istanbul ataturk airport,halkalı,sadece oda,3386 
grand hotel de pera,taksim,oda kahvaltı,2314 
bilek istanbul,kağıthane,sadece oda,3456 
lampa design hotel,şişli,sadece oda,3872 
mb deluxe hotel,gungoren,oda kahvaltı,1463 
grand bazaar hotel,sultanahmet,oda kahvaltı,1756 
hampton by hilton istanbul zeytinburnu,zeytinburnu,oda kahvaltı,2278 
grand s hotel,bayrampaşa,oda kahvaltı,2113 
hotel edibe sultan,sultanahmet,oda kahvaltı,4939 
nidya hotel galataport,tophane,sadece oda,3527 
tempo hotel 4levent,sanayi mahallesi,sadece oda,2080 
white monarch hotel,şişli,oda kahvaltı,3292 
suadiye hotel,suadiye,sadece oda,4519 
ipek palas,sirkeci,oda kahvaltı,1741 
suiteness taksim,taksim,oda kahvaltı,2304 
sheraton istanbul esenyurt,esenyurt,oda kahvaltı,3937 
gk regency suites,şişli,oda kahvaltı,1565 
sumengen hotel,sultanahmet,oda kahvaltı,2799 
elite world comfy i̇stanbul taksim hotel,taksim,sadece oda,2697 
asmali hotel istanbul,sultanahmet,oda kahvaltı,1266 
the haze hotel,karaköy,sadece oda,6349 
"crowne plaza istanbul tuzla viaport marina, an ihg hotel",tuzla,sadece oda,4656 
piya sport hotel,fatih,oda kahvaltı,2783 
mercure istanbul west hotel & convention center,bahcelievler,oda kahvaltı,2366 
taksim metropark,gümüşsuyu,sadece oda,1835 
new house,sultanahmet,sadece oda,1551 
sura hagia sophia hotel,sultanahmet,sadece oda,3108 
hotel zurich,fatih,oda kahvaltı,2505 
avantgarde hotel taksim,taksim,sadece oda,2709 
dila hotel,kadıköy,oda kahvaltı,2462 
tempo suites airport,bahçelievler,sadece oda,1199 
berr hotel,sultanahmet,oda kahvaltı,3558 
aston hotel,taksim,sadece oda,2095 
doubletree by hilton i̇stanbul tuzla,tuzla,sadece oda,4345 
i̇con i̇stanbul hotel,taksim,sadece oda,2314 
pera center hotel,taksim,oda kahvaltı,2112 
nova plaza pera,beyoğlu,oda kahvaltı,3185 
almina hotel - special class,fatih,oda kahvaltı,1874 
sultan house,sultanahmet,oda kahvaltı,1729 
walton hotels & spa nisantasi,şişli,sadece oda,2326 
taksim gonen,taksim,sadece oda,2438 
belle maison,şişli,sadece oda,2500 
ajia hotel,kanlıca mahallesi,oda kahvaltı,14108 
amethyst hotel,aksaray,oda kahvaltı,2213 
movenpick hotel istanbul asia airport,pendik,sadece oda,4147 
my assos hotel,fatih,oda kahvaltı,1311 
grand hilarium,fatih,oda kahvaltı,1185 
armada hotel old city sultanahmet,sultanahmet,oda kahvaltı,3376 
address istanbul,i̇stanbul anadolu yakası,sadece oda,6424 
grand öztanık hotel,taksim,sadece oda,2282 
feronya hotel,taksim,oda kahvaltı,2539 
laleli blue marmaray hotel,fatih,oda kahvaltı,1580 
parmada hotel old city,laleli,oda kahvaltı,2539 
hotel bosfora plus,şişli,sadece oda,2376 
ottoperla hotel,kazlıçeşme,sadece oda,3110 
marriott hotel istanbul sisli,şişli,açık büfe kahvaltı,5603 
marmara deluxe hotel,sirkeci,oda kahvaltı,1343 
tryp by wyndham i̇stanbul topkapı,zeytinburnu,sadece oda,2822 
grand hotel de londres,asmalımescit,oda kahvaltı,2351 
days hotel by wyndham istanbul esenyurt,esenyurt,oda kahvaltı,2187 
boursier hotel,mecidiyeköy,oda kahvaltı,3885 
miran hotel,sultanahmet,oda kahvaltı,1489 
holiday inn express i̇stanbul ataköy metro,şirinevler mahallesi,oda kahvaltı,2399 
mien suites istanbul,taksim,sadece oda,3074 
yasmak sultan,sultanahmet,oda kahvaltı,2986 
marnas hotel,esenler-bayrampaşa,oda kahvaltı,1651 
güneş hotel merter,merter,sadece oda,2442 
ala sofia hotel,sultanahmet,oda kahvaltı,4676 
pera tulip hotel,taksim,oda kahvaltı,2534 
avicenna hotel,sultanahmet,oda kahvaltı,1981 
la quinta by wyndham istanbul gunesli,bagcilar,sadece oda,2406 
grand yavuz hotel,sultanahmet,oda kahvaltı,2034 
rixos pera,taksim,sadece oda,5612 
ramada by wyndham i̇stanbul golden horn,i̇stanbul sütlüce,sadece oda,2743 
alyon hotel taksim,taksim,sadece oda,1291 
ikonik the public,taksim,sadece oda,3597 
park mandalin ağva,ağva,oda kahvaltı,2728 
millennium i̇stanbul golden horn,eyüp,sadece oda,3358 
taksim square hotel,taksim,sadece oda,2978 
mövenpick hotel i̇stanbul golden horn,eyüp,sadece oda,3160 
the peak hotel,asmalımescit,sadece oda,6155 
orka royal hotel,sultanahmet,oda kahvaltı,2304 
askoc,sirkeci,oda kahvaltı,1870 
bekdaş hotel deluxe spa,fatih,oda kahvaltı,1646 
amiral palace,sultanahmet,oda kahvaltı,5548 
elysium styles taksim,taksim,sadece oda,1303 
grand hotel avcılar,avcılar,oda kahvaltı,1206 
sidonya hotel,rasimpaşa,oda kahvaltı,2254 
black bird hotel,fatih,oda kahvaltı,2257 
santa ottoman hotel,taksim,oda kahvaltı,2721 
uranus hotels istanbul topkapi,zeytinburnu,sadece oda,3461 
vicenza hotel,sultanahmet,oda kahvaltı,1911 
air boss i̇stanbul airport and fair hotel,küçükçekmece,oda kahvaltı,1176 
titanic city hotel,taksim,oda kahvaltı,4548 
grand ninova hotel,kumkapı,oda kahvaltı,1108 
biz cevahir hotel sultanahmet,i̇stanbul,oda kahvaltı,3449 
ramada encore by wyndham istanbul kartal,i̇stanbul,sadece oda,2351 
hotbudget ortakoy,ortaköy,sadece oda,1178 
doubletree by hilton istanbul esentepe,esentepe,sadece oda,4053 
the mill hotel bomonti,bomonti,sadece oda,2863 
city center hotel,taksim,oda kahvaltı,2102 
delta hotels by marriott istanbul levent,beşiktaş,sadece oda,6050 
tryp by wyndham istanbul sancaktepe,i̇stanbul,oda kahvaltı,2328 
tryp by wyndham i̇stanbul sancaktepe,sancaktepe,sadece oda,2486 
le petit palace hotel,sirkeci,oda kahvaltı,2806 
akka lush hotel taksim,taksim,oda kahvaltı,2613 
grand gülsoy hotel,fatih,oda kahvaltı,2496 
venera,laleli,oda kahvaltı,1911 
beethoven senfoni hotel,fatih,oda kahvaltı,2708 
nokta suites hotel,avcılar,sadece oda,658 
ragip pasha apartments,taksim,sadece oda,1369 
tk taxim hotel,şişli,oda kahvaltı,2104 
milano hotel & spa istanbul,fatih,oda kahvaltı,821 
zagreb,laleli,oda kahvaltı,1632 
tempo hotel çağlayan,kağıthane,sadece oda,2142 
inera hotel pendik,pendik,sadece oda,2445 
cityloft 36 suites,küçükbakkalköy,sadece oda,1179 
grand i̇stanbul airport,bağcılar,sadece oda,1459 
ring stone hotels bosphorus,beyoğlu,sadece oda,2110 
golden flower,avcılar,sadece oda,534 
cartoon otel,taksim,oda kahvaltı,2112 
barin hotel,fatih,oda kahvaltı,1621 
nil hotel,şişli,oda kahvaltı,1337 
sarnıç butik otel,caferağa,oda kahvaltı,1834 
evsen hotel,sirkeci,oda kahvaltı,1319 
ağva gizemli nehir,ağva,oda kahvaltı,2500 
i̇nterstellar hotel,merter,oda kahvaltı,1834 
innpera hotel,taksim,sadece oda,1730 
golden royal hotel,fatih,oda kahvaltı,2957 
sv business hotel taksim,taksim,sadece oda,2183 
vital hotel fulya,fulya,sadece oda,3245 
royal tophane hotel,beyoğlu,oda kahvaltı,3196 
gulec hotel istanbul,sultanahmet,oda kahvaltı,2257 
manna boutique hotel,şişli,sadece oda,3418 
gümüş palas hotel i̇stanbul,gaziosmanpaşa,oda kahvaltı,1559 
harmony hotel,sultanahmet,oda kahvaltı,4292 
la wisteria boutique hotel,şişli,sadece oda,2105 
ağva nehir perisi konuk evi,ağva,sadece oda,1061 
hurry inn | istanbul,merter,oda kahvaltı,2856 
holiday inn i̇stanbul old city,fatih,sadece oda,2528 
marmaray hotel,fatih,oda kahvaltı,1693 
radisson president beyazit istanbul,sultanahmet,sadece oda,3950 
my kent hotel,kadıköy,oda kahvaltı,1794 
centrum hotel,sirkeci,oda kahvaltı,1221 
anemon galata,galata,sadece oda,3123 
euro design hotel,fatih,oda kahvaltı,2797 
levni hotel & spa istanbul,sultanahmet,oda kahvaltı,5042 
grand merin airport hotel,sancaktepe,sadece oda,1200 
myla hotel tuzla,tuzla,sadece oda,1050 
ağva piazza otel,ağva,sadece oda,755 
livinton hotel,i̇stanbul anadolu yakası,sadece oda,2214 
the elegant hotel,eyüp,sadece oda,1994 
a11 hotel cadde,kadıköy,oda kahvaltı,2200 
midtown hotel,taksim,oda kahvaltı,3161 
romance istanbul hotel,sultanahmet,sadece oda,4996 
cityloft 24 suites,küçükbakkalköy,sadece oda,1104 
bon city resort hotel,silivri,sadece oda,1000 
ucar royal,şile,oda kahvaltı,1455 
büyükada princess hotel,büyükada,oda kahvaltı,3068 
occidental taksim,taksim,sadece oda,2875 
hhk downtown hotel,fatih,oda kahvaltı,1397 
palazzo donizetti hotel,taksim,sadece oda,2438 
mezzo hotel kadiköy,kadıköy,oda kahvaltı,2188 
port bosphorus hotel,beyoğlu,sadece oda,3561 
ramada encore by wyndham istanbul basın express,küçükçekmece,sadece oda,2469 
sultania hotel,sultanahmet,oda kahvaltı,4740 
mac hotel vazo kule,cevizli mahallesi,sadece oda,1398 
niconya port suite,yenibosna,oda kahvaltı,2195 
serenity comfort hotel,bağcılar,sadece oda,2200 
grand aras hotel & suites,şişli,sadece oda,2563 
helikon business hotel,ümraniye,oda kahvaltı,1274 
bulvar palas,fatih,oda kahvaltı,2898 
the parma hotel & spa taksim,taksim,oda kahvaltı,3461 
the bank hotel i̇stanbul,karaköy,sadece oda,7054 
ramada by wyndham i̇stanbul old city,fatih,sadece oda,2202 
shah inn hotel,yeşilköy,sadece oda,2032 
bof hotels business,ümraniye,sadece oda,2487 
the byzantium,sultanahmet,oda kahvaltı,1943 
the place suites ataşehir,ümraniye,sadece oda,2527 
tarabya suites,sarıyer,sadece oda,3867 
myy boutique hotel,pendik,sadece oda,1177 
arden city,sultanahmet,oda kahvaltı,2250 
premist hotels taksim,taksim,oda kahvaltı,1825 
inntel hotel istanbul,taksim,oda kahvaltı,2286 
ağva sahil yıldızı hotel,ağva,sadece oda,402 
levent otel i̇stanbul,kağıthane,oda kahvaltı,4076 
ağva palas,ağva,oda kahvaltı,1350 
tan hotel,sultanahmet,sadece oda,2735 
yigitalp,sultanahmet,oda kahvaltı,2268 
rumours inn,sultanahmet,oda kahvaltı,1282 
sultanahmet palace ( sultanahmet sarayi ),sultanahmet,oda kahvaltı,3116 
sultanhan boutique,sultanahmet,açık büfe kahvaltı,3544 
hanna hotel,topkapı,oda kahvaltı,2433 
momento hotel golden horn,beyoğlu,sadece oda,2633 
arcadia blue istanbul hotel,sultanahmet,oda kahvaltı,3646 
rawda hotel bakirkoy,bakırköy,sadece oda,1851 
babu house,taksim,sadece oda,1115 
opera hotel,gümüşsuyu,sadece oda,3291 
fer hotel,fatih,sadece oda,4167 
tashkonak hotel istanbul,sultanahmet,oda kahvaltı,1823 
sultanahmet suites,sultanahmet,sadece oda,830 
urban hotel bomonti,şişli,sadece oda,1865 
gallery residence,şişli,sadece oda,3072 
hhk hotel,sultanahmet,oda kahvaltı,1266 
nova plaza crystal hotel,taksim,oda kahvaltı,3264 
piccolo mondo hotel,ağva,oda kahvaltı,2473 
white palace hotel,bahçelievler,sadece oda,1082 
king city hotel spa,bağcılar,oda kahvaltı,2033 
ahmet efendi konagi,kumkapı,oda kahvaltı,1265 
hidden hills i̇stanbul airport hotel,arnavutköy,sadece oda,3147 
bankerhan hotel,galata,sadece oda,3406 
ayasofya hotel,sultanahmet,oda kahvaltı,1467 
tomtom suites,beyoğlu,oda kahvaltı,6962 
aprilis deluxe hotel,fatih,oda kahvaltı,3461 
collage pera hotel,asmalı mescit,oda kahvaltı,1772 
palde hotel & spa,sirkeci,oda kahvaltı,2144 
corner hot hotel,beşiktaş,sadece oda,1121 
grand lark hotel,kartal,izole oda kahvaltı,1568 
nabu hotel karaköy,karaköy-haliç,oda kahvaltı,2450 
divas boutique,fatih,sadece oda,729 
tulip city hotel,taksim,oda kahvaltı,2010 
a11 hotel ataşehir,küçükbakkalköy,oda kahvaltı,1887 
tiara büyükada otel,büyükada,oda kahvaltı,1850 
grand aras hotel suites,şişli,oda kahvaltı,2612 
buyuk keban,fatih,oda kahvaltı,1797 
urban suites,cihangir,sadece oda,5768 
lady diana,sultanahmet,oda kahvaltı,3927 
amira hotel,sultanahmet,açık büfe kahvaltı,3815 
ikbal deluxe,laleli,oda kahvaltı,1780 
sude konak,sultanahmet,oda kahvaltı,2012 
misa hotel,fatih,sadece oda,2393 
bosphorus palace hotel,beylerbeyi,oda kahvaltı,6587 
grand park hotel spa beylikduzu istanbul,esenyurt,oda kahvaltı,1400 
klas,fatih,oda kahvaltı,2112 
atik palace hotel,osmanbey,oda kahvaltı,1574 
besiktas konuk hotel,beşiktaş,sadece oda,1407 
i̇stanbul trend hotel,laleli,oda kahvaltı,2118 
tranquilla river lodge,ağva,oda kahvaltı,3342 
dersaadet hotel istanbul,sultanahmet,oda kahvaltı,3545 
momento,sultanahmet,oda kahvaltı,2049 
sura design hotel & suites,sultanahmet,sadece oda,3159 
ottoman hotel imperial istanbul,sultanahmet,oda kahvaltı,2372 
neorion,sirkeci,oda kahvaltı,2690 
eresin hotels sultanahmet,sultanahmet,sadece oda,3168 
oran hotel istanbul,laleli,oda kahvaltı,2112 
sarnic hotel&sarnic premier hotel(ottoman mansion),sultanahmet,sadece oda,2666 
celal sultan,sultanahmet,oda kahvaltı,1977 
peyk hotel,sultanahmet,oda kahvaltı,2566 
sorriso hotel,fatih,oda kahvaltı,1725 
adelmar hotel istenbul,şişli,sadece oda,2623 
i̇stanbul hotel suites,bakırköy,sadece oda,1447 
ağva nehir evi butik otel,ağva,oda kahvaltı,1500 
butik akvaryum,adalar,oda kahvaltı,1211 
nizam butik otel büyükada,büyükada,oda kahvaltı,1489 
falcon palas hotel sabiha gökçen airport,pendik,sadece oda,1350 
arts hotel i̇stanbul,harbiye,sadece oda,2842 
ottopera hotel,taksim,sadece oda,1096 
zanadu hotel,fatih,sadece oda,590 
riva`s moda,moda,sadece oda,2931 
agva riverangel,i̇stanbul,oda kahvaltı,2500 
crowne plaza i̇stanbul oryapark,ümraniye,sadece oda,4447 
meroddi pera hotel,taksim,sadece oda,2417 
darkhill hotel,fatih,oda kahvaltı,1503 
saba hotel istanbul,sultanahmet,oda kahvaltı,2316 
pierre loti,sultanahmet,açık büfe kahvaltı,2999 
boss hotel sultanahmet,sultanahmet,oda kahvaltı,1599 
delta hotel istanbul,laleli,oda kahvaltı,1400 
skalion hotel & spa,kumkapı,oda kahvaltı,2304 
best nobel hotel istanbul,sirkeci,oda kahvaltı,1143 
sherlock homes hotels,ataşehir,sadece oda,1336 
taksim line hotel,taksim,oda kahvaltı,2136 
titanic comfort hotel,şişli,sadece oda,1773 
gulhanepark hotel&spa istanbul,fatih,oda kahvaltı,2985 
taba luxury suites,gayrettepe,oda kahvaltı,5436 
kalyon hotel,sultanahmet,sadece oda,2193 
ramada encore by wyndham i̇stanbul şişli,şişli,oda kahvaltı,2838 
palmiye otel,i̇stanbul,oda kahvaltı,2799 
grand washington hotel,fatih,oda kahvaltı,2147 
albatros hagia sophia hotel,sultanahmet,oda kahvaltı,1709 
glk premier sea mansion suites & spa,sultanahmet,oda kahvaltı,5217 
real star hotel,fatih,oda kahvaltı,1789 
georges hotel galata,galata,sadece oda,7456 
senatus,sultanahmet,oda kahvaltı,2295 
taksim 15 suites,taksim,sadece oda,6114 
valide sultan konagi,sultanahmet,oda kahvaltı,2462 
berjer hotel,beyoğlu,oda kahvaltı,2616 
grand beyazıd hotel,fatih,oda kahvaltı,2516 
antusa palace &spa,fatih,oda kahvaltı,1969 
tria special hotel istanbul,sultanahmet,oda kahvaltı,4123 
saba sultan hotel,sultanahmet,oda kahvaltı,2215 
regard hotel,şişli,oda kahvaltı,2681 
dara hotel old city,fatih,sadece oda,1313 
turkuaz port hotel,büyükçekmece,oda kahvaltı,1225 
stone hotel i̇stanbul,fatih,oda kahvaltı,2539 
hotel büyük şahinler,laleli,oda kahvaltı,2541 
semsan hotel,nişantaşı,oda kahvaltı,2351 
meydan beşiktaş otel,beşiktaş,sadece oda,2189 
the city hotel,i̇stanbul aksaray,oda kahvaltı,1396 
burgu arjaan by rotana i̇stanbul asia,maltepe,sadece oda,3638 
asi̇a business suites,atasehir,açık büfe kahvaltı,1807 
sultan hill,sultanahmet,oda kahvaltı,1446 
aşıklar otel,büyükada,oda kahvaltı,2190 
aruna hotel,sirkeci,oda kahvaltı,1116 
ayasultan boutique hotel,sultanahmet,açık büfe kahvaltı,2375 
hotellino,sirkeci,oda kahvaltı,3076 
nowy efendi hotel,sultanahmet,oda kahvaltı,2728 
antea hotel,sultanahmet,sadece oda,2351 
my golden hotel,i̇stanbul aksaray,oda kahvaltı,1851 
adamar hotel,sultanahmet,oda kahvaltı,3247 
sari konak,sultanahmet,oda kahvaltı,1867 
mandarin oriental bosphorus istanbul,i̇stanbul boğazı,sadece oda,25563 
pera rose hotel,taksim,oda kahvaltı,1789 
nar palace,dudullu osb,sadece oda,1262 
taxim suites hotel,taksim,sadece oda,2950 
seher hotel,fatih,oda kahvaltı,1670 
room mate emir,taksim,sadece oda,3959 
çeşmeli konak otel,silivri,oda kahvaltı,1100 
kerthill hotel,ataşehir,sadece oda,2141 
zendy suite hotel,beyoğlu,sadece oda,1329 
grand hotel palmiye,taksim,sadece oda,637 
konak maçka suites,beşiktaş,oda kahvaltı,1635 
comfort elite hotels sultanahmet,sultanahmet,oda kahvaltı,2561 
anthemis hotel,sultanahmet,açık büfe kahvaltı,2563 
florenta hotel,cağaloğlu,oda kahvaltı,2563 
albatros premier hotel,sultanahmet,sadece oda,1257 
upsuites hotel,esentepe,oda kahvaltı,3117 
barbera hotel,sirkeci,sadece oda,2664 
the suadiye residence,suadiye,sadece oda,3461 
ada karakoy hotel,karaköy,sadece oda,2279 
meroddi bagdatliyan hotel,beyoğlu,oda kahvaltı,1898 
no 2 hotel by şükrü,i̇stanbul anadolu yakası,ücretsiz akşam yemeği,2161 
elibol hotel,sultanahmet,oda kahvaltı,1724 
phellos suites,şile,oda kahvaltı,6056 
the xanadu i̇stanbul,sultanahmet,sadece oda,1022 
taksim prelude hotel,taksim,sadece oda,2773 
topkapi inter istanbul hotel,topkapı,oda kahvaltı,1851 
grand abimo hotel,zeytinburnu,oda kahvaltı,1943 
sed hotel,beyoglu,sadece oda,1588 
ramada plaza sultanahmet,bağcılar,sadece oda,2427 
redmont hotel nisantasi,nişantaşı,sadece oda,2101 
diamond royal hotel,sirkeci,açık büfe kahvaltı,2658 
cheya hotel beşiktaş,beşiktaş,sadece oda,2245 
agva robin's nest,ağva,oda kahvaltı,2037 
tempo fair suites,bahçelievler,sadece oda,1645 
istanbul airport durusu club hotel,arnavutköy,sadece oda,1657 
wame suite hotel nişantaşı,nişantaşı,oda kahvaltı,2793 
istport hotel,arnavutköy,oda kahvaltı,2529 
cityloft 64,ataşehir,sadece oda,1241 
black tulip,sirkeci,açık büfe kahvaltı,1979 
angels home hotel istanbul,sultanahmet,oda kahvaltı,1928 
collage pera,asmalımescit,oda kahvaltı,2257 
lapis inn hotel,sultanahmet,açık büfe kahvaltı,2600 
aristocrat,sultanahmet,açık büfe kahvaltı,3799 
azade premier,sultanahmet,oda kahvaltı,2692 
uyan hotel,sultanahmet,açık büfe kahvaltı,2834 
sokullu pasa hotel,sultanahmet,oda kahvaltı,2516 
